critic_loss,duration,episode,episode_reward,step
-1580.8692427201704,0.24100089073181152,329.0,55.0,24879
-1644.602144129136,0.3170008659362793,330.0,68.0,24947
-1669.079057742388,0.570000171661377,331.0,78.0,25026
-1606.380739409348,0.25499844551086426,332.0,58.0,25084
-1695.7719874526515,0.4350008964538574,333.0,99.0,25183
-1825.0871686237615,0.41899871826171875,334.0,82.0,25265
-1724.5839961482789,1.866999626159668,335.0,197.0,25462
-1761.2515022667656,1.3089983463287354,336.0,137.0,25599
-1646.5451831054688,0.4680016040802002,337.0,50.0,25649
-1814.4332094545719,0.504000186920166,338.0,54.0,25703
-1825.2938720703125,0.8509995937347412,339.0,90.0,25793
-1843.7269423755247,1.26200270652771,340.0,134.0,25927
-1938.1335196358816,1.6629981994628906,341.0,140.0,26068
-1834.9340762732163,1.0279982089996338,342.0,106.0,26174
-1910.3059262134989,0.5880017280578613,343.0,61.0,26235
-1886.4328502308238,0.6650006771087646,344.0,66.0,26301
-1904.0522103658536,0.4069995880126953,345.0,41.0,26342
-1615.5108773367745,0.2700004577636719,346.0,28.0,26370
-1965.6371399785432,0.6860005855560303,347.0,71.0,26441
-2032.0345525568182,0.5339994430541992,348.0,55.0,26496
-1988.4138313455785,0.4499995708465576,349.0,47.0,26543
-1985.0064946954901,0.448000431060791,350.0,44.0,26587
-1964.944166045828,0.9269993305206299,351.0,97.0,26684
-1941.2284135084885,0.9869997501373291,352.0,104.0,26788
-1980.0916113759956,0.9720005989074707,353.0,102.0,26890
-1961.292689732143,0.4739990234375,354.0,49.0,26939
-2055.9077464916086,1.5840744972229004,355.0,108.0,27048
-2199.021702357701,0.27199816703796387,356.0,28.0,27076
-2154.629229606466,0.8899996280670166,357.0,94.0,27170
-2097.5458684957252,0.5119998455047607,358.0,53.0,27223
-2197.3675130208335,0.3149988651275635,359.0,33.0,27256
-2104.45766435103,2.113002061843872,360.0,220.0,27476
-2116.7170173891127,0.2999999523162842,361.0,31.0,27507
-2087.0942101111777,0.3970000743865967,362.0,39.0,27546
-2109.627653503418,0.8020033836364746,363.0,80.0,27626
-2260.654109202275,1.3969957828521729,364.0,147.0,27773
-2323.25267578125,0.48400163650512695,365.0,50.0,27823
-2197.818121189024,0.39099979400634766,366.0,41.0,27864
-2318.8067407852564,0.3960001468658447,367.0,39.0,27903
-2390.241372996363,0.570000171661377,368.0,58.0,27961
-2208.6847365806843,0.9599993228912354,369.0,58.0,28020
-2203.7100766664976,0.729001522064209,370.0,77.0,28097
-2227.710001627604,0.6769983768463135,371.0,72.0,28169
-2369.8618073640046,0.5369985103607178,372.0,54.0,28223
-2208.8445175379925,0.6899995803833008,373.0,73.0,28296
-2391.9201605902776,0.8560009002685547,374.0,90.0,28386
-2369.098583984375,0.4680006504058838,375.0,50.0,28436
-2328.2936655680337,0.4519989490509033,376.0,48.0,28484
