#{"t_start": 1695645162.9988813, "env_id": "CartPole-v1"}
r,l,t
78.0,78,591.105031
41.0,41,591.289031
45.0,45,591.501032
39.0,39,591.679031
44.0,44,591.881031
50.0,50,592.121032
36.0,36,592.297033
35.0,35,592.468033
50.0,50,592.698031
39.0,39,593.003031
75.0,75,593.346033
39.0,39,593.532731
42.0,42,593.726576
44.0,44,593.927806
35.0,35,594.084829
47.0,47,594.293897
52.0,52,594.529004
42.0,42,594.714562
65.0,65,595.018434
32.0,32,595.167363
56.0,56,595.420894
68.0,68,595.737482
38.0,38,595.905636
46.0,46,596.126839
56.0,56,596.398839
42.0,42,596.600424
60.0,60,596.879423
40.0,40,597.062424
80.0,80,597.431423
66.0,66,597.844424
55.0,55,598.097797
30.0,30,598.241796
64.0,64,598.536796
41.0,41,598.728796
62.0,62,599.008796
36.0,36,599.175795
34.0,34,599.360795
61.0,61,599.676238
39.0,39,599.8714
46.0,46,600.087959
49.0,49,600.309959
107.0,107,600.786961
73.0,73,601.128549
58.0,58,601.397549
29.0,29,601.531551
51.0,51,601.781548
46.0,46,601.995121
34.0,34,602.161122
32.0,32,602.318121
44.0,44,602.628121
33.0,33,602.78712
32.0,32,602.939121
48.0,48,603.157122
32.0,32,603.316121
43.0,43,603.531121
51.0,51,603.774121
56.0,56,604.091697
41.0,41,604.283696
47.0,47,604.498696
111.0,111,604.991696
54.0,54,605.234806
37.0,37,605.405806
48.0,48,605.630806
36.0,36,605.795807
58.0,58,606.068686
48.0,48,606.289686
52.0,52,606.532686
79.0,79,606.909687
38.0,38,607.115788
30.0,30,607.390323
36.0,36,607.56232
39.0,39,607.751322
34.0,34,607.911324
48.0,48,608.140321
54.0,54,608.448324
30.0,30,608.594323
32.0,32,608.747322
40.0,40,608.949322
35.0,35,609.130321
32.0,32,609.277323
30.0,30,609.419321
42.0,42,609.611323
41.0,41,609.806322
26.0,26,609.924321
36.0,36,610.090321
33.0,33,610.245322
47.0,47,610.459322
46.0,46,610.67432
40.0,40,610.866321
36.0,36,611.030321
36.0,36,611.197323
57.0,57,611.461323
32.0,32,611.619323
39.0,39,611.803321
59.0,59,612.081321
59.0,59,612.474321
32.0,32,612.623323
48.0,48,612.843322
37.0,37,613.014322
35.0,35,613.179323
48.0,48,613.403324
29.0,29,613.536324
62.0,62,613.823325
54.0,54,614.068321
28.0,28,614.194321
43.0,43,614.395326
32.0,32,614.546322
45.0,45,614.753322
51.0,51,614.988322
33.0,33,615.139322
35.0,35,615.297323
30.0,30,615.432321
65.0,65,615.733321
35.0,35,615.892321
46.0,46,616.132321
79.0,79,616.494321
42.0,42,616.686321
43.0,43,616.899321
72.0,72,617.358321
48.0,48,617.578324
57.0,57,617.847322
56.0,56,618.101322
44.0,44,618.303321
34.0,34,618.46332
56.0,56,618.732321
46.0,46,618.944321
66.0,66,619.239321
37.0,37,619.404321
40.0,40,619.584321
45.0,45,619.784321
51.0,51,620.020321
32.0,32,620.167321
32.0,32,620.318321
53.0,53,620.569321
35.0,35,620.734321
49.0,49,620.965321
120.0,120,621.508322
39.0,39,621.795321
39.0,39,621.973321
49.0,49,622.191322
36.0,36,622.367996
32.0,32,622.513996
39.0,39,622.692015
66.0,66,622.993034
42.0,42,623.183912
38.0,38,623.36548
40.0,40,623.55348
34.0,34,623.706482
48.0,48,623.92348
50.0,50,624.15448
57.0,57,624.40948
57.0,57,624.66448
37.0,37,624.82848
48.0,48,625.05148
35.0,35,625.20748
56.0,56,625.464481
57.0,57,625.718481
38.0,38,625.88848
38.0,38,626.06148
50.0,50,626.290481
50.0,50,626.63248
55.0,55,626.888481
28.0,28,627.016483
116.0,116,627.548482
46.0,46,627.753481
40.0,40,627.939481
35.0,35,628.10048
33.0,33,628.25348
48.0,48,628.476482
93.0,93,628.89348
45.0,45,629.09448
34.0,34,629.246482
46.0,46,629.460481
36.0,36,629.62448
39.0,39,629.80048
109.0,109,630.30248
103.0,103,630.772337
46.0,46,631.088132
40.0,40,631.274131
47.0,47,631.489132
112.0,112,632.001132
29.0,29,632.136132
35.0,35,632.302135
46.0,46,632.529132
43.0,43,632.723132
40.0,40,632.909354
53.0,53,633.145354
34.0,34,633.306358
52.0,52,633.545355
56.0,56,633.803356
42.0,42,633.991354
48.0,48,634.210355
42.0,42,634.400355
36.0,36,634.571354
42.0,42,634.778356
38.0,38,634.959356
34.0,34,635.120356
45.0,45,635.335357
74.0,74,635.673355
48.0,48,635.991354
52.0,52,636.232354
50.0,50,636.459356
48.0,48,636.687357
58.0,58,636.951354
69.0,69,637.264354
36.0,36,637.425356
40.0,40,637.603355
38.0,38,637.781354
40.0,40,637.962356
47.0,47,638.173355
39.0,39,638.361354
34.0,34,638.520915
43.0,43,638.722168
52.0,52,638.964169
48.0,48,639.18817
46.0,46,639.402168
38.0,38,639.577168
47.0,47,639.792572
72.0,72,640.119572
