#{"t_start": 1695645162.9988813, "env_id": "CartPole-v1"}
r,l,t
51.0,51,162.389432
52.0,52,162.418433
88.0,88,162.467432
93.0,93,162.519664
47.0,47,162.544662
83.0,83,162.590663
83.0,83,162.637662
50.0,50,162.665662
104.0,104,162.723857
69.0,69,162.762857
55.0,55,172.520624
217.0,217,172.642623
93.0,93,172.694625
142.0,142,172.774625
84.0,84,172.820625
81.0,81,172.865625
72.0,72,172.905628
77.0,77,172.949442
98.0,98,173.003444
61.0,61,173.038507
47.0,47,182.890605
54.0,54,182.922605
56.0,56,182.954607
151.0,151,183.040607
54.0,54,183.070606
39.0,39,183.093607
79.0,79,183.138607
160.0,160,183.229607
46.0,46,183.255606
55.0,55,183.286609
44.0,44,193.050171
96.0,96,193.105172
31.0,31,193.123057
29.0,29,193.140056
50.0,50,193.169053
89.0,89,193.220054
27.0,27,193.235054
70.0,70,193.273055
56.0,56,193.304382
143.0,143,193.388382
58.0,58,203.163512
33.0,33,203.181513
44.0,44,203.206513
30.0,30,203.222511
34.0,34,203.242921
81.0,81,203.289924
49.0,49,203.317923
49.0,49,203.344923
32.0,32,203.361922
30.0,30,203.378922
77.0,77,213.054679
51.0,51,213.083679
46.0,46,213.109679
66.0,66,213.146679
43.0,43,213.170998
30.0,30,213.187998
38.0,38,213.209997
82.0,82,213.255998
57.0,57,213.289419
79.0,79,213.334417
53.0,53,222.879634
27.0,27,222.894635
101.0,101,222.950634
159.0,159,223.040635
64.0,64,223.075636
61.0,61,223.109638
50.0,50,223.136635
80.0,80,223.186636
78.0,78,223.233635
27.0,27,223.248635
51.0,51,232.869042
75.0,75,232.911039
112.0,112,232.972159
29.0,29,232.989159
157.0,157,233.07474
73.0,73,233.11474
31.0,31,233.131889
38.0,38,233.153878
55.0,55,233.185875
38.0,38,233.206876
58.0,58,243.126638
73.0,73,243.17064
90.0,90,243.22464
77.0,77,243.269639
66.0,66,243.30864
58.0,58,243.342639
91.0,91,243.396639
56.0,56,243.431053
169.0,169,243.532803
100.0,100,243.588804
98.0,98,253.227802
82.0,82,253.274802
26.0,26,253.289804
59.0,59,253.323804
144.0,144,253.405802
53.0,53,253.436803
53.0,53,253.465802
56.0,56,253.496803
103.0,103,253.554804
101.0,101,253.611803
50.0,50,263.261844
78.0,78,263.306847
77.0,77,263.350845
72.0,72,263.391844
72.0,72,263.431845
49.0,49,263.459845
69.0,69,263.497846
163.0,163,263.587846
33.0,33,263.605845
53.0,53,263.635845
119.0,119,273.261844
114.0,114,273.329846
53.0,53,273.359843
160.0,160,273.451845
45.0,45,273.476846
75.0,75,273.519845
86.0,86,273.568846
41.0,41,273.592846
119.0,119,273.660845
49.0,49,273.687845
61.0,61,283.292947
46.0,46,283.317945
84.0,84,283.364947
36.0,36,283.384945
36.0,36,283.404945
68.0,68,283.441947
25.0,25,283.455946
115.0,115,283.520948
69.0,69,283.558947
64.0,64,283.594947
22.0,22,293.266786
86.0,86,293.320789
63.0,63,293.360805
32.0,32,293.380791
47.0,47,293.412789
26.0,26,293.432789
43.0,43,293.464069
29.0,29,293.48707
205.0,205,293.635775
60.0,60,293.670133
52.0,52,303.392493
23.0,23,303.406491
77.0,77,303.451493
149.0,149,303.53937
61.0,61,303.57437
44.0,44,303.598717
73.0,73,303.638718
51.0,51,303.666718
133.0,133,303.741718
39.0,39,303.764717
39.0,39,313.295181
63.0,63,313.330182
27.0,27,313.345183
68.0,68,313.383185
49.0,49,313.409182
42.0,42,313.432184
38.0,38,313.453183
96.0,96,313.505183
43.0,43,313.530183
37.0,37,313.550183
57.0,57,323.141033
73.0,73,323.182033
53.0,53,323.213035
31.0,31,323.231035
34.0,34,323.250034
49.0,49,323.277034
64.0,64,323.312034
29.0,29,323.328033
51.0,51,323.356034
40.0,40,323.378035
106.0,106,332.995044
103.0,103,333.052044
35.0,35,333.072046
72.0,72,333.112046
46.0,46,333.137045
153.0,153,333.221045
153.0,153,333.306046
81.0,81,333.352045
55.0,55,333.383051
56.0,56,333.415045
72.0,72,342.938555
56.0,56,342.970559
40.0,40,342.992558
97.0,97,343.046559
62.0,62,343.081559
142.0,142,343.163558
72.0,72,343.203558
86.0,86,343.250557
65.0,65,343.286512
83.0,83,343.331509
41.0,41,352.85275
47.0,47,352.878749
66.0,66,352.918751
163.0,163,353.008752
49.0,49,353.03675
61.0,61,353.07075
72.0,72,353.11175
117.0,117,353.18075
55.0,55,353.21175
53.0,53,353.24075
67.0,67,362.818147
65.0,65,362.854146
70.0,70,362.893683
89.0,89,362.943197
47.0,47,362.970197
59.0,59,363.00332
41.0,41,363.02632
95.0,95,363.079455
65.0,65,363.115456
55.0,55,363.146456
115.0,115,372.666731
97.0,97,372.720732
76.0,76,372.762732
55.0,55,372.793732
72.0,72,372.833731
62.0,62,372.868733
127.0,127,372.938732
52.0,52,372.966733
48.0,48,372.993732
139.0,139,373.070732
44.0,44,382.565469
32.0,32,382.583471
59.0,59,382.615469
139.0,139,382.690468
48.0,48,382.717469
68.0,68,382.75547
33.0,33,382.773471
61.0,61,382.807472
104.0,104,382.86547
60.0,60,382.899471
65.0,65,392.472006
49.0,49,392.499005
47.0,47,392.525004
101.0,101,392.580006
61.0,61,392.615006
99.0,99,392.669006
43.0,43,392.693006
33.0,33,392.711031
127.0,127,392.783007
64.0,64,392.818006
65.0,65,402.380876
41.0,41,402.403876
146.0,146,402.483876
41.0,41,402.506876
57.0,57,402.538876
43.0,43,402.561876
101.0,101,402.617877
99.0,99,402.674549
40.0,40,402.697548
109.0,109,402.758548
67.0,67,412.297664
110.0,110,412.361664
58.0,58,412.400663
40.0,40,412.429664
47.0,47,412.456665
38.0,38,412.477665
35.0,35,412.496664
65.0,65,412.532663
67.0,67,412.570664
79.0,79,412.615664
39.0,39,422.147676
113.0,113,422.208675
97.0,97,422.261674
46.0,46,422.287674
119.0,119,422.353677
45.0,45,422.378676
49.0,49,422.406675
62.0,62,422.441676
43.0,43,422.466676
56.0,56,422.499677
75.0,75,432.079746
125.0,125,432.149735
77.0,77,432.192559
264.0,264,432.343562
119.0,119,432.41256
