#{"t_start": 1695644104.102744, "env_id": "CartPole-v1"}
r,l,t
19.0,9,0.059
10.0,10,0.064
10.0,10,0.068
8.0,8,0.072001
10.0,10,0.076
9.0,9,0.080001
9.0,9,0.085
10.0,10,0.090001
10.0,10,0.094
9.0,9,0.098001
11.0,11,0.103001
8.9.0,9,2.721
10.0,10,2.723998
9.0,9,2.726
9.0,9,2.727999
9.0,9,2.730998
9.0,9,2.732999
8.0,8,2.734999
10.0,10,2.736998
10.0,10,2.739999
9.0,9,2.741999
9.0,9,4.793998
9.0,9,4.796998
10.0,10,4.798999
10.0,10,4.801998
10.0,10,4.803998
9.0,9,4.805998
10.0,10,4.808998
9.0,9,4.810998
9.0,9,4.812998
10.0,10,4.815998
9.0,9,6.887998
10.0,10,6.889998
10.0,10,6.892998
8.0,8,6.894998
9.0,9,6.896998
10.0,10,6.899998
8.0,8,6.901999
10.0,10,6.903998
10.0,10,6.906998
9.0,9,6.908998
9.0,9,8.985999
9.0,9,8.988998
11.0,11,8.990999
9.0,9,8.993998
9.0,9,8.995998
11.0,11,8.999
9.0,9,9.001997
10.0,10,9.003999
10.0,10,9.006998
8.0,8,9.008999
9.0,9,11.274998
9.0,9,11.277998
10.0,10,11.28
8.0,8,11.282
10.0,10,11.284998
8.0,8,11.286998
9.0,9,11.288998
10.0,10,11.290998
9.0,9,11.292998
10.0,10,11.296998
9.0,9,13.772998
11.0,11,13.775997
9.0,9,13.777998
8.0,8,13.779998
9.0,9,13.782999
8.0,8,13.784999
10.0,10,13.786999
10.0,10,13.789999
10.0,10,13.791997
10.0,10,13.794997
9.0,9,16.165998
10.0,10,16.168998
8.0,8,16.170998
10.0,10,16.172998
10.0,10,16.175998
10.0,10,16.178998
8.0,8,16.180998
10.0,10,16.182998
9.0,9,16.184999
9.0,9,16.187998
10.0,10,18.393999
11.0,11,18.396998
9.0,9,18.398998
8.0,8,18.400998
10.0,10,18.402998
10.0,10,18.405998
9.0,9,18.408999
9.0,9,18.410999
9.0,9,18.412998
9.0,9,18.415998
10.0,10,20.636999
10.0,10,20.639998
9.0,9,20.642999
10.0,10,20.644998
9.0,9,20.646998
10.0,10,20.649999
10.0,10,20.651999
8.0,8,20.653998
9.0,9,20.655999
9.0,9,20.658999
9.0,9,22.900997
9.0,9,22.903997
10.0,10,22.905997
10.0,10,22.907998
8.0,8,22.911
10.0,10,22.913999
10.0,10,22.915998
8.0,8,22.917998
10.0,10,22.921
10.0,10,22.922998
11.0,11,25.175998
10.0,10,25.179
10.0,10,25.181999
9.0,9,25.183998
9.0,9,25.185998
10.0,10,25.188998
10.0,10,25.190999
9.0,9,25.192998
9.0,9,25.195998
10.0,10,25.197998
10.0,10,27.460001
10.0,10,27.462998
8.0,8,27.463998
9.0,9,27.466998
10.0,10,27.468997
10.0,10,27.470998
9.0,9,27.473998
9.0,9,27.475998
9.0,9,27.477998
9.0,9,27.480999
9.0,9,29.793999
9.0,9,29.796
9.0,9,29.797999
10.0,10,29.801
9.0,9,29.803999
10.0,10,29.807
9.0,9,29.809001
10.0,10,29.810999
9.0,9,29.813999
10.0,10,29.817
11.0,11,32.132
10.0,10,32.135999
9.0,9,32.137999
10.0,10,32.140998
10.0,10,32.143998
9.0,9,32.145999
9.0,9,32.148997
11.0,11,32.150998
8.0,8,32.152999
10.0,10,32.155998
10.0,10,34.611001
10.0,10,34.625
10.0,10,34.626998
8.0,8,34.628999
8.0,8,34.630998
10.0,10,34.633998
9.0,9,34.635997
10.0,10,34.638998
10.0,10,34.640997
9.0,9,34.642998
10.0,10,37.128998
9.0,9,37.131998
10.0,10,37.133997
9.0,9,37.136998
9.0,9,37.138998
10.0,10,37.141998
9.0,9,37.143999
10.0,10,37.146008
10.0,10,37.149
10.0,10,37.151
9.0,9,39.528999
10.0,10,39.531998
9.0,9,39.534998
10.0,10,39.537
9.0,9,39.539999
8.0,8,39.541998
10.0,10,39.544999
9.0,9,39.546998
9.0,9,39.548998
9.0,9,39.550998
9.0,9,41.960001
10.0,10,41.961998
8.0,8,41.963998
10.0,10,41.965999
10.0,10,41.969
10.0,10,41.970999
8.0,8,41.972997
9.0,9,41.974999
9.0,9,41.977998
10.0,10,41.981001
8.0,8,44.382999
10.0,10,44.385999
10.0,10,44.388999
10.0,10,44.391
8.0,8,44.392998
9.0,9,44.395
9.0,9,44.397999
9.0,9,44.400998
8.0,8,44.402998
10.0,10,44.404998
10.0,10,46.848
9.0,9,46.85
9.0,9,46.852
9.0,9,46.853998
10.0,10,46.856997
10.0,10,46.858997
10.0,10,46.861998
10.0,10,46.863999
10.0,10,46.865999
10.0,10,46.868998
10.0,10,49.34
8.0,8,49.341999
8.0,8,49.343999
10.0,10,49.346999
8.0,8,49.348999
10.0,10,49.352
10.0,10,49.354999
9.0,9,49.356999
10.0,10,49.360001
10.0,10,49.361999
10.0,10,51.873999
9.0,9,51.875999
9.0,9,51.880998
8.0,8,51.883998
8.0,8,51.885998
9.0,9,51.887997
9.0,9,51.889997
10.0,10,51.892997
9.0,9,51.894998
10.0,10,51.897998
