#{"t_start": 1695644104.102744, "env_id": "CartPole-v1"}
r,l,t
9.0,9,54.333999
10.0,10,54.335999
10.0,10,54.338999
9.0,9,54.340998
9.0,9,54.343999
10.0,10,54.345999
8.0,8,54.347998
9.0,9,54.350998
8.0,8,54.352998
9.0,9,54.354999
9.0,9,56.807998
9.0,9,56.81
10.0,10,56.812998
8.0,8,56.814998
8.0,8,56.816999
10.0,10,56.818998
10.0,10,56.820999
10.0,10,56.823998
8.0,8,56.825999
9.0,9,56.827998
8.0,8,59.502999
9.0,9,59.504998
9.0,9,59.507003
10.0,10,59.51
9.0,9,59.511999
9.0,9,59.514997
11.0,11,59.516997
10.0,10,59.520003
9.0,9,59.522999
10.0,10,59.525998
9.0,9,62.192999
9.0,9,62.194998
9.0,9,62.196998
9.0,9,62.198997
10.0,10,62.202
9.0,9,62.204
9.0,9,62.206998
8.0,8,62.207998
9.0,9,62.210998
9.0,9,62.212998
9.0,9,64.696998
9.0,9,64.698998
9.0,9,64.701998
9.0,9,64.703998
10.0,10,64.705998
9.0,9,64.708997
9.0,9,64.710998
9.0,9,64.712998
9.0,9,64.714998
10.0,10,64.716998
9.0,9,67.220999
9.0,9,67.222999
10.0,10,67.226
10.0,10,67.228
8.0,8,67.229999
9.0,9,67.231999
11.0,11,67.234999
10.0,10,67.236998
9.0,9,67.24
10.0,10,67.241999
10.0,10,69.875998
9.0,9,69.877998
11.0,11,69.881
9.0,9,69.883
10.0,10,69.884998
10.0,10,69.887998
10.0,10,69.889998
9.0,9,69.891999
10.0,10,69.894998
10.0,10,69.896998
8.0,8,72.535998
8.0,8,72.537998
10.0,10,72.539998
10.0,10,72.542998
8.0,8,72.544998
10.0,10,72.546998
9.0,9,72.548998
8.0,8,72.550998
9.0,9,72.553998
10.0,10,72.555998
9.0,9,75.083998
10.0,10,75.086998
9.0,9,75.088998
10.0,10,75.091998
10.0,10,75.093998
9.0,9,75.096997
10.0,10,75.098999
10.0,10,75.100998
9.0,9,75.103998
10.0,10,75.105998
8.0,8,77.610999
10.0,10,77.613
10.0,10,77.615998
10.0,10,77.618
9.0,9,77.620999
9.0,9,77.623
9.0,9,77.625998
10.0,10,77.627999
9.0,9,77.630999
8.0,8,77.632999
9.0,9,80.253998
10.0,10,80.255998
10.0,10,80.258998
9.0,9,80.260999
8.0,8,80.262998
9.0,9,80.264998
9.0,9,80.266998
10.0,10,80.27
11.0,11,80.272998
9.0,9,80.274998
10.0,10,82.834
10.0,10,82.835998
10.0,10,82.837998
8.0,8,82.841
10.0,10,82.843998
10.0,10,82.846999
8.0,8,82.848997
10.0,10,82.850998
10.0,10,82.853998
9.0,9,82.855998
10.0,10,85.405998
10.0,10,85.409999
10.0,10,85.411999
10.0,10,85.414998
8.0,8,85.416998
10.0,10,85.419998
9.0,9,85.421999
10.0,10,85.424999
10.0,10,85.426999
10.0,10,85.43
8.0,8,87.984998
9.0,9,87.987998
10.0,10,87.99
9.0,9,87.991998
10.0,10,87.994998
9.0,9,87.996999
11.0,11,87.999
10.0,10,88.001998
9.0,9,88.003999
8.0,8,88.006
10.0,10,90.659999
10.0,10,90.661998
10.0,10,90.664999
9.0,9,90.666998
9.0,9,90.668999
9.0,9,90.671998
9.0,9,90.673998
8.0,8,90.675998
9.0,9,90.677998
10.0,10,90.681
10.0,10,93.384
10.0,10,93.386998
10.0,10,93.388998
10.0,10,93.391
10.0,10,93.394
10.0,10,93.395998
9.0,9,93.397999
10.0,10,93.400999
10.0,10,93.405999
10.0,10,93.408
10.0,10,96.110998
9.0,9,96.113
9.0,9,96.114998
8.0,8,96.116997
9.0,9,96.118999
9.0,9,96.120998
9.0,9,96.123998
10.0,10,96.125998
9.0,9,96.128
10.0,10,96.130998
10.0,10,98.815998
8.0,8,98.818
10.0,10,98.822
9.0,9,98.823998
10.0,10,98.825999
10.0,10,98.828998
9.0,9,98.830998
10.0,10,98.832998
10.0,10,98.836
9.0,9,98.837999
10.0,10,101.498998
9.0,9,101.501999
10.0,10,101.504
10.0,10,101.506998
8.0,8,101.508998
9.0,9,101.510999
10.0,10,101.512998
8.0,8,101.514998
10.0,10,101.516998
8.0,8,101.518998
10.0,10,104.16
10.0,10,104.161998
10.0,10,104.163998
10.0,10,104.167998
10.0,10,104.17
11.0,11,104.172998
9.0,9,104.174999
10.0,10,104.177998
9.0,9,104.179999
10.0,10,104.182998
9.0,9,106.879999
9.0,9,106.881998
8.0,8,106.884998
9.0,9,106.886998
8.0,8,106.888998
9.0,9,106.890998
8.0,8,106.892998
9.0,9,106.896
10.0,10,106.897998
9.0,9,106.9
10.0,10,109.593998
8.0,8,109.595998
9.0,9,109.597998
10.0,10,109.599999
10.0,10,109.602999
10.0,10,109.605998
9.0,9,109.607998
9.0,9,109.61
10.0,10,109.611998
8.0,8,109.613998
8.0,8,112.318998
9.0,9,112.320998
9.0,9,112.323998
10.0,10,112.325998
8.0,8,112.327999
8.0,8,112.33
9.0,9,112.331998
9.0,9,112.333998
11.0,11,112.336998
8.0,8,112.338998
9.0,9,114.996998
10.0,10,114.998998
10.0,10,115.001998
9.0,9,115.003998
8.0,8,115.005999
9.0,9,115.007998
9.0,9,115.010998
10.0,10,115.012998
9.0,9,115.014998
9.0,9,115.016998
9.0,9,117.717999
9.0,9,117.720998
8.0,8,117.722998
10.0,10,117.724998
8.0,8,117.726998
9.0,9,117.728998
10.0,10,117.731999
11.0,11,117.733998
8.0,8,117.735998
9.0,9,117.737998
10.0,10,120.540998
9.0,9,120.542998
11.0,11,120.545998
9.0,9,120.547998
8.0,8,120.549998
9.0,9,120.551998
9.0,9,120.553999
9.0,9,120.555998
10.0,10,120.558998
9.0,9,120.560999
11.0,11,123.408999
10.0,10,123.413999
10.0,10,123.415999
9.0,9,123.419
10.0,10,123.421999
10.0,10,123.425
9.0,9,123.426999
9.0,9,123.43
8.0,8,123.431999
10.0,10,123.434001
9.0,9,126.544998
9.0,9,126.546998
9.0,9,126.548998
9.0,9,126.551998
10.0,10,126.553999
10.0,10,126.557
11.0,11,126.56
9.0,9,126.561998
9.0,9,126.563998
11.0,11,126.565998
9.0,9,129.44
10.0,10,129.441998
9.0,9,129.443998
10.0,10,129.446998
10.0,10,129.449998
9.0,9,129.451998
10.0,10,129.454998
10.0,10,129.457998
10.0,10,129.46
9.0,9,129.462002
8.0,8,132.459354
10.0,10,132.462353
9.0,9,132.465354
10.0,10,132.467355
9.0,9,132.469353
10.0,10,132.472355
8.0,8,132.474354
10.0,10,132.477353
10.0,10,132.480354
8.0,8,132.482354
10.0,10,135.496353
9.0,9,135.498353
10.0,10,135.501354
9.0,9,135.503353
10.0,10,135.505353
9.0,9,135.508353
8.0,8,135.510353
9.0,9,135.512353
9.0,9,135.514353
10.0,10,135.517353
10.0,10,138.425354
9.0,9,138.427354
9.0,9,138.429354
11.0,11,138.432354
9.0,9,138.434353
10.0,10,138.437353
9.0,9,138.440354
9.0,9,138.442353
11.0,11,138.445354
10.0,10,138.447353
9.0,9,141.382353
10.0,10,141.385353
9.0,9,141.387353
8.0,8,141.389355
8.0,8,141.391354
8.0,8,141.393353
8.0,8,141.395353
10.0,10,141.397355
9.0,9,141.399353
9.0,9,141.402353
10.0,10,144.176353
9.0,9,144.178354
9.0,9,144.180355
8.0,8,144.182353
8.0,8,144.184354
9.0,9,144.186353
10.0,10,144.189353
10.0,10,144.191353
10.0,10,144.194355
10.0,10,144.196353
10.0,10,146.987353
9.0,9,146.989353
10.0,10,146.991353
9.0,9,146.993353
9.0,9,146.995353
8.0,8,146.997355
9.0,9,147.000355
9.0,9,147.002354
10.0,10,147.005355
10.0,10,147.007353
9.0,9,149.726353
9.0,9,149.728353
10.0,10,149.730355
9.0,9,149.733353
9.0,9,149.735353
10.0,10,149.737353
9.0,9,149.739355
9.0,9,149.742353
9.0,9,149.744353
10.0,10,149.746353
9.0,9,152.510353
9.0,9,152.512353
9.0,9,152.515354
10.0,10,152.517353
10.0,10,152.519354
10.0,10,152.522353
10.0,10,152.524353
8.0,8,152.526353
10.0,10,152.529355
8.0,8,152.531353
9.0,9,155.301354
9.0,9,155.303355
9.0,9,155.305355
10.0,10,155.307353
10.0,10,155.310354
9.0,9,155.312353
9.0,9,155.314353
9.0,9,155.317354
10.0,10,155.320354
10.0,10,155.322353
10.0,10,158.070354
9.0,9,158.073353
8.0,8,158.074353
10.0,10,158.077353
9.0,9,158.079354
9.0,9,158.081353
9.0,9,158.083353
9.0,9,158.086354
10.0,10,158.089353
10.0,10,158.091353
9.0,9,160.830355
10.0,10,160.832353
9.0,9,160.834352
8.0,8,160.836353
9.0,9,160.838353
9.0,9,160.841354
9.0,9,160.843353
10.0,10,160.846354
8.0,8,160.848352
9.0,9,160.850353
8.0,8,163.595354
9.0,9,163.597355
9.0,9,163.599355
10.0,10,163.602353
10.0,10,163.604355
10.0,10,163.606354
9.0,9,163.609353
9.0,9,163.611355
10.0,10,163.613353
10.0,10,163.616356
10.0,10,166.415353
8.0,8,166.417355
10.0,10,166.420355
8.0,8,166.421355
10.0,10,166.424354
9.0,9,166.426353
10.0,10,166.429354
11.0,11,166.432354
9.0,9,166.434353
9.0,9,166.436353
9.0,9,169.217355
10.0,10,169.219353
10.0,10,169.222353
10.0,10,169.224353
11.0,11,169.227355
9.0,9,169.229353
9.0,9,169.231353
10.0,10,169.234355
10.0,10,169.237353
10.0,10,169.239355
9.0,9,172.010355
8.0,8,172.013353
9.0,9,172.015352
11.0,11,172.017353
9.0,9,172.020354
10.0,10,172.022353
8.0,8,172.024353
9.0,9,172.026353
9.0,9,172.028352
10.0,10,172.031353
9.0,9,174.837353
10.0,10,174.840355
10.0,10,174.842353
10.0,10,174.845353
9.0,9,174.847353
9.0,9,174.850353
9.0,9,174.852353
11.0,11,174.854353
8.0,8,174.856353
10.0,10,174.859356
9.0,9,177.701354
9.0,9,177.703353
9.0,9,177.705353
10.0,10,177.707353
10.0,10,177.710354
10.0,10,177.712353
9.0,9,177.714353
9.0,9,177.717353
10.0,10,177.719353
9.0,9,177.721354
9.0,9,180.441353
10.0,10,180.443353
9.0,9,180.446353
9.0,9,180.448353
10.0,10,180.450354
10.0,10,180.457355
9.0,9,180.462356
10.0,10,180.465353
9.0,9,180.469355
9.0,9,180.471354
10.0,10,183.239354
9.0,9,183.241354
10.0,10,183.244354
10.0,10,183.246353
9.0,9,183.248353
10.0,10,183.251354
10.0,10,183.253353
9.0,9,183.255353
10.0,10,183.258354
10.0,10,183.260355
9.0,9,185.999356
10.0,10,186.002353
8.0,8,186.004353
8.0,8,186.006353
10.0,10,186.008353
9.0,9,186.010355
10.0,10,186.013353
10.0,10,186.015354
9.0,9,186.017354
9.0,9,186.020355
9.0,9,188.712353
9.0,9,188.714353
10.0,10,188.716353
9.0,9,188.719353
10.0,10,188.721355
9.0,9,188.723354
10.0,10,188.726353
9.0,9,188.728353
10.0,10,188.730353
10.0,10,188.732353
9.0,9,191.448353
9.0,9,191.450353
8.0,8,191.452353
10.0,10,191.455353
8.0,8,191.457354
10.0,10,191.459352
9.0,9,191.462353
9.0,9,191.464354
10.0,10,191.467353
9.0,9,191.469353
9.0,9,194.190353
10.0,10,194.192353
9.0,9,194.194353
10.0,10,194.196352
9.0,9,194.199355
10.0,10,194.201353
9.0,9,194.204352
10.0,10,194.206352
9.0,9,194.208353
10.0,10,194.211353
9.0,9,196.945353
9.0,9,196.947353
9.0,9,196.949353
8.0,8,196.951354
9.0,9,196.953353
10.0,10,196.956355
8.0,8,196.958353
9.0,9,196.960356
9.0,9,196.963354
9.0,9,196.965353
9.0,9,199.768353
9.0,9,199.770353
10.0,10,199.772353
9.0,9,199.774353
9.0,9,199.777354
9.0,9,199.779354
10.0,10,199.781353
9.0,9,199.783353
8.0,8,199.785353
9.0,9,199.788353
10.0,10,202.559353
10.0,10,202.561353
10.0,10,202.564353
10.0,10,202.566353
10.0,10,202.569353
10.0,10,202.571354
9.0,9,202.573353
9.0,9,202.576353
10.0,10,202.578353
10.0,10,202.580355
10.0,10,205.279354
11.0,11,205.282353
8.0,8,205.284353
8.0,8,205.286354
10.0,10,205.288353
8.0,8,205.290355
9.0,9,205.292353
9.0,9,205.295353
10.0,10,205.297353
9.0,9,205.299353
11.0,11,208.036387
9.0,9,208.038389
9.0,9,208.041389
8.0,8,208.043388
9.0,9,208.045388
9.0,9,208.047388
9.0,9,208.049388
10.0,10,208.051387
10.0,10,208.05439
10.0,10,208.056387
10.0,10,210.802388
10.0,10,210.805387
10.0,10,210.807387
10.0,10,210.810389
10.0,10,210.812387
10.0,10,210.815387
10.0,10,210.817388
10.0,10,210.820389
9.0,9,210.822388
9.0,9,210.824389
10.0,10,213.563388
8.0,8,213.565388
9.0,9,213.568387
10.0,10,213.57039
9.0,9,213.572387
9.0,9,213.574387
9.0,9,213.576388
10.0,10,213.57939
9.0,9,213.581389
9.0,9,213.584387
10.0,10,216.332388
10.0,10,216.335388
10.0,10,216.337388
9.0,9,216.340389
10.0,10,216.342388
10.0,10,216.345388
9.0,9,216.347388
9.0,9,216.350389
10.0,10,216.352387
11.0,11,216.355387
9.0,9,219.267985
9.0,9,219.270985
10.0,10,219.272985
10.0,10,219.274984
10.0,10,219.277986
10.0,10,219.280985
10.0,10,219.282985
8.0,8,219.284984
9.0,9,219.286985
9.0,9,219.288985
10.0,10,222.098986
10.0,10,222.101985
10.0,10,222.103985
10.0,10,222.106985
10.0,10,222.108984
9.0,9,222.110986
10.0,10,222.113986
8.0,8,222.115984
10.0,10,222.117985
10.0,10,222.120987
10.0,10,224.835985
9.0,9,224.838989
8.0,8,224.840986
10.0,10,224.842985
9.0,9,224.845986
10.0,10,224.847985
9.0,9,224.849987
10.0,10,224.852984
9.0,9,224.854987
9.0,9,224.857986
8.0,8,227.618985
10.0,10,227.620986
10.0,10,227.622985
10.0,10,227.625985
9.0,9,227.627985
10.0,10,227.629987
10.0,10,227.632987
10.0,10,227.634985
9.0,9,227.636985
9.0,9,227.638985
10.0,10,230.408985
9.0,9,230.410986
10.0,10,230.413985
10.0,10,230.415985
9.0,9,230.417985
8.0,8,230.419987
10.0,10,230.422985
9.0,9,230.424985
9.0,9,230.426985
10.0,10,230.428985
9.0,9,233.175985
8.0,8,233.178985
10.0,10,233.180985
9.0,9,233.182985
9.0,9,233.184985
9.0,9,233.187985
10.0,10,233.189986
8.0,8,233.191985
8.0,8,233.193985
11.0,11,233.196985
10.0,10,235.959987
10.0,10,235.961984
10.0,10,235.964985
10.0,10,235.966985
8.0,8,235.968985
10.0,10,235.970985
10.0,10,235.973984
9.0,9,235.975986
9.0,9,235.977985
10.0,10,235.980986
10.0,10,238.707985
9.0,9,238.710985
10.0,10,238.712985
9.0,9,238.714985
9.0,9,238.716985
10.0,10,238.719987
8.0,8,238.721985
8.0,8,238.723985
9.0,9,238.725985
9.0,9,238.727985
9.0,9,241.490985
9.0,9,241.492985
10.0,10,241.495987
8.0,8,241.497987
10.0,10,241.500985
9.0,9,241.502985
9.0,9,241.504985
9.0,9,241.506985
8.0,8,241.508985
9.0,9,241.511985
9.0,9,244.260985
10.0,10,244.262985
9.0,9,244.265985
11.0,11,244.267986
8.0,8,244.270986
10.0,10,244.272985
9.0,9,244.274985
9.0,9,244.276985
10.0,10,244.279987
11.0,11,244.281987
8.0,8,247.038985
9.0,9,247.040986
9.0,9,247.043988
9.0,9,247.045985
10.0,10,247.047987
9.0,9,247.050986
9.0,9,247.052985
11.0,11,247.054985
8.0,8,247.056985
10.0,10,247.059985
9.0,9,249.820985
10.0,10,249.822985
9.0,9,249.824985
9.0,9,249.826985
9.0,9,249.828984
10.0,10,249.831985
8.0,8,249.833985
9.0,9,249.835985
9.0,9,249.838984
10.0,10,249.840985
9.0,9,252.595985
10.0,10,252.597985
9.0,9,252.599987
10.0,10,252.602985
10.0,10,252.604985
8.0,8,252.607985
10.0,10,252.609987
9.0,9,252.611984
9.0,9,252.613985
10.0,10,252.616985
9.0,9,255.312985
9.0,9,255.314985
10.0,10,255.317985
10.0,10,255.319988
10.0,10,255.322985
9.0,9,255.324985
9.0,9,255.326984
9.0,9,255.328985
9.0,9,255.330984
10.0,10,255.333985
10.0,10,258.063985
10.0,10,258.065985
9.0,9,258.067985
10.0,10,258.070985
8.0,8,258.072986
8.0,8,258.074984
10.0,10,258.076985
8.0,8,258.078989
9.0,9,258.080985
9.0,9,258.083985
10.0,10,260.814985
8.0,8,260.816985
10.0,10,260.819988
10.0,10,260.821985
8.0,8,260.823985
8.0,8,260.825984
8.0,8,260.827985
9.0,9,260.829987
9.0,9,260.831986
10.0,10,260.834985
9.0,9,263.616985
9.0,9,263.619987
11.0,11,263.621987
10.0,10,263.624985
9.0,9,263.626985
10.0,10,263.628985
9.0,9,263.630985
10.0,10,263.633985
9.0,9,263.635986
9.0,9,263.637985
1.879
8.0,8,21.897001
9.0,9,21.917
10.0,10,21.938
9.0,9,21.957
9.0,9,21.980002
9.0,9,21.998
8.0,8,22.016002
9.0,9,22.034
10.0,10,22.054
8.0,8,22.072
9.0,9,22.091001
8.0,8,22.108
10.0,10,22.128999
9.0,9,22.147002
10.0,10,22.17
10.0,10,22.193001
9.0,9,22.213
10.0,10,22.236
10.0,10,22.257999
10.0,10,22.281001
10.0,10,22.304
8.0,8,22.322002
8.0,8,22.342006
8.0,8,22.36
10.0,10,22.383
10.0,10,22.407002
10.0,10,22.429
9.0,9,22.450001
10.0,10,22.471002
8.0,8,22.489001
8.0,8,22.507001
10.0,10,22.529001
10.0,10,22.55
9.0,9,22.57
8.0,8,22.588
10.0,10,22.609
11.0,11,22.634001
11.0,11,22.658001
8.0,8,22.678
10.0,10,22.702005
11.0,11,22.727
9.0,9,22.749
9.0,9,22.768001
10.0,10,22.790001
9.0,9,22.809999
10.0,10,22.832
8.0,8,22.849999
9.0,9,22.871002
10.0,10,22.893
9.0,9,22.94
10.0,10,22.962003
10.0,10,22.984
9.0,9,23.004003
9.0,9,23.025
9.0,9,23.046001
9.0,9,23.066
9.0,9,23.087
10.0,10,23.109001
9.0,9,23.129002
9.0,9,23.15
10.0,10,23.176002
10.0,10,23.200001
9.0,9,23.220017
9.0,9,23.241002
8.0,8,23.260002
9.0,9,23.282
8.0,8,23.300002
8.0,8,23.319002
10.0,10,23.342
9.0,9,23.364001
11.0,11,23.388999
9.0,9,23.410001
8.0,8,23.428001
9.0,9,23.448
8.0,8,23.465999
9.0,9,23.485001
10.0,10,23.505999
9.0,9,23.527
8.0,8,23.544
10.0,10,23.566
8.0,8,23.583
9.0,9,23.603
9.0,9,23.623
8.0,8,23.641003
9.0,9,23.66
9.0,9,23.679
10.0,10,23.7
9.0,9,23.719
8.0,8,23.736
9.0,9,23.760001
8.0,8,23.778
11.0,11,23.803003
9.0,9,23.824003
9.0,9,23.846001
8.0,8,23.866002
9.0,9,23.885999
9.0,9,23.906
9.0,9,23.924999
10.0,10,23.947
10.0,10,23.968999
10.0,10,23.992
9.0,9,24.013
8.0,8,24.032
8.0,8,24.051005
8.0,8,24.07
9.0,9,24.09
9.0,9,24.108999
10.0,10,24.131002
9.0,9,24.149999
10.0,10,24.172
10.0,10,24.194
9.0,9,24.213002
9.0,9,24.233
9.0,9,24.253
9.0,9,24.273
10.0,10,24.296
8.0,8,24.314002
10.0,10,24.336001
8.0,8,24.352999
9.0,9,24.373001
9.0,9,24.392
9.0,9,24.413
8.0,8,24.431002
10.0,10,24.454
9.0,9,24.475
9.0,9,24.495
11.0,11,24.521001
8.0,8,24.539001
9.0,9,24.559002
9.0,9,24.58
9.0,9,24.601
8.0,8,24.619004
8.0,8,24.637001
10.0,10,24.661002
8.0,8,24.679002
9.0,9,24.699001
10.0,10,24.721
10.0,10,24.745001
8.0,8,24.763001
10.0,10,24.786001
9.0,9,24.806
9.0,9,24.825999
8.0,8,24.843
9.0,9,24.863002
10.0,10,24.885999
9.0,9,24.906
9.0,9,24.924999
9.0,9,24.946
9.0,9,24.965
10.0,10,24.986
9.0,9,25.004999
9.0,9,25.024
10.0,10,25.045
9.0,9,25.064001
9.0,9,25.084
10.0,10,25.106
9.0,9,25.127002
10.0,10,25.150002
9.0,9,25.171
9.0,9,25.218
8.0,8,25.234002
10.0,10,25.255
9.0,9,25.275
9.0,9,25.294999
9.0,9,25.315
10.0,10,25.336
10.0,10,25.359002
8.0,8,25.376002
10.0,10,25.398001
9.0,9,25.421001
9.0,9,25.442001
9.0,9,25.462
9.0,9,25.482
9.0,9,25.501001
11.0,11,25.524
9.0,9,25.544
9.0,9,25.564001
10.0,10,25.586
10.0,10,25.609001
9.0,9,25.630001
10.0,10,25.655001
10.0,10,25.679
9.0,9,25.698999
10.0,10,25.72
8.0,8,25.738003
9.0,9,25.757
8.0,8,25.774999
10.0,10,25.798
9.0,9,25.818
8.0,8,25.836
9.0,9,25.856001
8.0,8,25.875
9.0,9,25.895
10.0,10,25.919
9.0,9,25.941001
9.0,9,25.963001
8.0,8,25.981002
9.0,9,26.002001
10.0,10,26.025001
10.0,10,26.047
10.0,10,26.069
10.0,10,26.091
10.0,10,26.112999
9.0,9,26.133003
9.0,9,26.154003
10.0,10,26.176001
11.0,11,26.202
10.0,10,26.224
10.0,10,26.244999
10.0,10,26.267
10.0,10,26.290001
9.0,9,26.309
10.0,10,26.331002
11.0,11,26.356001
10.0,10,26.379001
10.0,10,26.402001
9.0,9,26.422
9.0,9,26.442
10.0,10,26.464002
10.0,10,26.488
10.0,10,26.512001
9.0,9,26.533001
10.0,10,26.556
10.0,10,26.577999
9.0,9,26.598
9.0,9,26.618001
10.0,10,26.639001
9.0,9,26.66
10.0,10,26.682002
10.0,10,26.704002
8.0,8,26.721001
10.0,10,26.743
9.0,9,26.761999
9.0,9,26.783
11.0,11,26.807999
8.0,8,26.826
10.0,10,26.848003
9.0,9,26.872001
8.0,8,26.892004
10.0,10,26.918004
10.0,10,26.942003
10.0,10,26.965999
9.0,9,26.988002
8.0,8,27.007003
9.0,9,27.027
9.0,9,27.047
10.0,10,27.069
10.0,10,27.091001
9.0,9,27.11
9.0,9,27.13
9.0,9,27.15
9.0,9,27.169999
9.0,9,27.190004
10.0,10,27.211
9.0,9,27.232
8.0,8,27.25
9.0,9,27.269
10.0,10,27.291001
10.0,10,27.313
8.0,8,27.331
8.0,8,27.35003
10.0,10,27.373
10.0,10,27.397
8.0,8,27.415001
8.0,8,27.434
9.0,9,27.455
9.0,9,27.499002
9.0,9,27.517999
10.0,10,27.539999
9.0,9,27.561002
10.0,10,27.582
10.0,10,27.604
8.0,8,27.622001
9.0,9,27.642
8.0,8,27.660001
10.0,10,27.682001
8.0,8,27.700002
10.0,10,27.72
9.0,9,27.739
9.0,9,27.759
9.0,9,27.778001
9.0,9,27.799001
10.0,10,27.823004
